,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
11,RANGE_INTERPOLATED,"106 Tabernacle Rd, Medford Lakes, NJ 08055, USA",Ei8xMDYgVGFiZXJuYWNsZSBSZCwgTWVkZm9yZCBMYWtlcywgTkogMDgwNTUsIFVTQSIaEhgKFAoSCSFVDcu3MMGJEWw0pj43cZfCEGo,106 TABERNACLE ROAD,39.8634618,-74.8025146,2,8055,OK,street_address
12,,,,,,,,,,
13,ROOFTOP,"1223 Rider Ave, Salinas, CA 93905, USA",ChIJ_ZTaFEQHkoAR2E-nRweI2zo,1223 RIDER AVENUE,36.6925313,-121.6125544,1,93905,OK,premise
14,GEOMETRIC_CENTER,"E Ave K 6, California 93535, USA",ChIJo6KVy0FRwoAReCXwIhMgT0E,1154 E AVENUE K6,34.66976,-118.0401436,2,93535,OK,route
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,ROOFTOP,"3724 Elkhorn Blvd, North Highlands, CA 95660, USA",ChIJ1QR1q5jYmoARoVhWDcX4t-Q,3724-3726 ELKHORN BLVD.,38.690638,-121.37731,1,95660,OK,street_address
19,ROOFTOP,"255 W 104th Pl, Chicago, IL 60628, USA",ChIJme-Fss8lDogRnSIwyAtghzE,255 WEST 104TH PLACE,41.704079,-87.630325,1,60628,OK,street_address
20,ROOFTOP,"4832 W Larkspur Dr, Glendale, AZ 85304, USA",ChIJL1EXBF9pK4cRam3nJBNGmxk,4832 W LARKSPUR DR,33.5997072,-112.1634904,1,85304,OK,premise
21,,,,,,,,,,
22,ROOFTOP,"1121 Arlington Way, Brentwood, CA 94513, USA",ChIJDbe_9rL-j4ARM-AUD-H2QsE,1121 ARLINGTON WAY,37.92007,-121.7169853,1,94513,OK,premise
23,RANGE_INTERPOLATED,"2435 West Blvd, Charlotte, NC 28208, USA",EigyNDM1IFdlc3QgQmx2ZCwgQ2hhcmxvdHRlLCBOQyAyODIwOCwgVVNBIhsSGQoUChIJgz_1arKYVogRGc3hMGV8OZQQgxM,2435-2437 WEST BLVD,35.2108485,-80.9025263,1,28208,OK,street_address
24,RANGE_INTERPOLATED,"2435 West Blvd, Charlotte, NC 28208, USA",EigyNDM1IFdlc3QgQmx2ZCwgQ2hhcmxvdHRlLCBOQyAyODIwOCwgVVNBIhsSGQoUChIJgz_1arKYVogRGc3hMGV8OZQQgxM,2435-2437 WEST BLVD,35.2108485,-80.9025263,1,28208,OK,street_address
25,ROOFTOP,"928 E 50th St, Los Angeles, CA 90011, USA",ChIJK9_n91vIwoAR8hct_ZAlW5Y,928 EAST 50TH ST.,33.9973785,-118.259309,3,90011,OK,premise
26,ROOFTOP,"928 E 50th St, Los Angeles, CA 90011, USA",ChIJK9_n91vIwoAR8hct_ZAlW5Y,928 EAST 50TH ST.,33.9973785,-118.259309,3,90011,OK,premise
27,,,,,,,,,,
28,ROOFTOP,"281 Vickery Ln, Gilroy, CA 95020, USA",ChIJX2eoXoPhkYAR35QZOmkw78E,281 VICKERY LANE,37.0325421,-121.5880366,1,95020,OK,premise
29,,,,,,,,,,
30,ROOFTOP,"17 Holly Brook Cove, Maumelle, AR 72113, USA",ChIJ4cUNnhyf0ocRppMbcilvZgo,17 HOLLY BROOK COVE,34.877323,-92.4094664,1,72113,OK,premise
31,RANGE_INTERPOLATED,"2310 Yorkshire Ct, Antioch, CA 94531, USA",EikyMzEwIFlvcmtzaGlyZSBDdCwgQW50aW9jaCwgQ0EgOTQ1MzEsIFVTQSIbEhkKFAoSCZtenRW_V4WAEV91umzVV0VTEIYS,2310 YORKSHIRE CT,37.9858806,-121.7839318,1,94531,OK,street_address
32,RANGE_INTERPOLATED,"2310 Yorkshire Ct, Antioch, CA 94531, USA",EikyMzEwIFlvcmtzaGlyZSBDdCwgQW50aW9jaCwgQ0EgOTQ1MzEsIFVTQSIbEhkKFAoSCZtenRW_V4WAEV91umzVV0VTEIYS,2310 YORKSHIRE CT,37.9858806,-121.7839318,1,94531,OK,street_address
33,ROOFTOP,"18120 Charlemagne Ave, Hazel Crest, IL 60429, USA",ChIJbyYqPvUXDogRSDAwumFReEg,18120 CHARLEMAGNE AVENUE,41.5595003,-87.6989592,1,60429,OK,premise
34,,,,,,,,,,
35,ROOFTOP,"7611 Tuscarora St, Pittsburgh, PA 15221, USA",ChIJ4_5Pw8LtNIgRusYqsXrOU5g,7611 TUSCARORA STREET,40.4461791,-79.8947971,1,15221,OK,premise
36,ROOFTOP,"4856 W 28th St, Cicero, IL 60804, USA",ChIJGb39V7czDogRvPzGJ4PREvs,4856 WEST 28TH STREET,41.842424,-87.7467851,1,60804,OK,premise
37,ROOFTOP,"5743 Dover Dr, Horn Lake, MS 38637, USA",ChIJTyJq2BVk1YcRPT_BRTRmaO0,5743 DOVER DRIVE,34.9672285,-90.0917071,1,38637,OK,premise
38,,,,,,,,,,
39,ROOFTOP,"3034 Presstman St, Baltimore, MD 21216, USA",ChIJSzTooWgbyIkRZly-Pfq91GI,3034 PRESSTMAN STREET,39.3046869,-76.6687602,1,21216,OK,premise
40,ROOFTOP,"85 Blossom St, Chelsea, MA 02150, USA",ChIJCYEJAbtx44kR6URm9VoqGKA,85 BLOSSOM STREET,42.3983985,-71.035191,1,2150,OK,premise
41,ROOFTOP,"522 Fairlawn Ave SW, Massillon, OH 44646, USA",ChIJbevUYM_ZNogRMHFW1gfmgZ4,522 FAIRLAWN AVE SW,40.7901646,-81.4611778,1,44646,OK,premise
42,ROOFTOP,"6700 SW 9th Pl, North Lauderdale, FL 33068, USA",ChIJbwU5a1sE2YgRvXWEzHbdWy4,6700 SOUTHWEST 9TH PLACE,26.2167639,-80.2167506,2,33068,OK,premise
43,ROOFTOP,"505 N Star Ln, Hartland, MN 56042, USA",ChIJo5k_0xu09ocRqi_rx6X2S8o,505 NORTH STAR LANE,43.8072246,-93.4855855,1,56042,OK,street_address
44,ROOFTOP,"657 Chalmers St, Detroit, MI 48215, USA",ChIJj1pIiQbVJIgRCuJ52h1sOsM,657 CHALMERS STREET,42.369074,-82.942391,1,48215,OK,street_address
45,ROOFTOP,"812 Red Sage Ln, Murray, UT 84107, USA",ChIJS_Tt9Q-KUocRZQa6dMZMZVU,812 EAST RED SAGE LANE,40.670733,-111.86759,1,84107,OK,street_address
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,ROOFTOP,"31 Hanover Pl NW, Washington, DC 20001, USA",ChIJBbKHAx64t4kRJ4xArts08vY,31 HANOVER PLACE,38.9080399,-77.0100162,2,20001,OK,premise
51,ROOFTOP,"14636 Coit Rd, Cleveland, OH 44110, USA",ChIJ98IL5pX-MIgRIMJniSE63Fc,14636 COIT ROAD,41.547302,-81.580534,2,44110,OK,street_address
52,ROOFTOP,"4730 E Craig Rd UNIT 2067, Las Vegas, NV 89115, USA",ChIJQbkemGDdyIARoKVtA2eGbfc,4730 EAST CRAIG ROAD UNIT 2067,36.2441765,-115.0696007,1,89115,OK,subpremise
53,,,,,,,,,,
54,ROOFTOP,"46 Hill St, Danville, VT 05828, USA",ChIJpTunaABMtEwRswi2jo3SQ6E,46 HILL STREET,44.4122386,-72.1400214,2,5828,OK,"establishment,food,point_of_interest,restaurant"
55,ROOFTOP,"46 Ash St, Hopkinton, MA 01748, USA",ChIJiWL-VEN05IkRHNbcKbZFfB8,46 ASH STREET,42.2240813,-71.5128358,1,1748,OK,premise
56,ROOFTOP,"6013 Leidich St, Detroit, MI 48213, USA",ChIJRVleGA3UJIgRx1PALdmGGN4,6013 LEIDICH ST,42.3966118,-82.9845745,1,48213,OK,premise
57,ROOFTOP,"511 Monroe St, Brooklyn, NY 11221, USA",ChIJvW5ChYpbwokRFn9pr-DPZtA,511 MONROE STREET,40.687294,-73.9366423,1,11221,OK,premise
58,ROOFTOP,"3204 Plymouth Springmill Rd, Shelby, OH 44875, USA",ChIJqVQutgGTOYgRwvXL_-uxEPI,3204 PLYMOUTH SPRINGMILL ROAD,40.8413388,-82.6019299,1,44875,OK,premise
59,,,,,,,,,,
60,ROOFTOP,"42141 Brownie Ln, Big Bear Lake, CA 92315, USA",ChIJfz8kfnq0xIARomDu8yWxhXk,42141 BROWNIE LANE,34.2437531,-116.8822231,1,92315,OK,premise
61,ROOFTOP,"2305 Christopher Ct, Bakersfield, CA 93304, USA",ChIJ29qtrXtq6oARhT3YSuM6n0Y,2305 CHRISTOPHER COURT,35.3339311,-119.0378553,1,93304,OK,premise
62,ROOFTOP,"3644 Menlo Rd, Shaker Heights, OH 44120, USA",ChIJz_kBvs_8MIgRqq-Ft32fOIk,3644 MENLO ROAD,41.460489,-81.572304,1,44120,OK,street_address
63,ROOFTOP,"6491 Riverview Terrace NE, Fridley, MN 55432, USA",ChIJr02kBh8ws1IRVkQuPPd0vtw,6491 RIVERVIEW TERRACE NE 8,45.085881,-93.276278,1,55432,OK,street_address
64,ROOFTOP,"745 Neal St NW, Atlanta, GA 30318, USA",ChIJjYxG3psE9YgRFhionPqDX44,745 NEAL STREET NW,33.766622,-84.411797,1,30318,OK,street_address
65,ROOFTOP,"5023 Southeastern Ave, Indianapolis, IN 46203, USA",ChIJa98spFBFa4gR0w-4u-4EgIc,5023 SOUTHEASTERN AVE,39.7449844,-86.084059,1,46203,OK,premise
66,,,,,,,,,,
67,ROOFTOP,"8733 Treasure Ave, Walkersville, MD 21793, USA",ChIJ70UU2e7PyYkRGAvQQ7oPjyw,8733 TREASURE AVENUE,39.4662267,-77.3628034,2,21793,OK,premise
68,RANGE_INTERPOLATED,"2355 E 96th St, Indianapolis, IN 46240, USA",EisyMzU1IEUgOTZ0aCBTdCwgSW5kaWFuYXBvbGlzLCBJTiA0NjI0MCwgVVNBIhsSGQoUChIJx1lPCjqtFIgRsOD5RF-bIxUQsxI,23-55 96TH STREET,39.9262831,-86.1217195,1,46240,OK,street_address
69,,,,,,,,,,
70,ROOFTOP,"53 Wrentham Dr, Medford, NJ 08055, USA",ChIJS6HKtdswwYkRRe6HRN94-fk,53 WRENTHAM DRIVE,39.8608726,-74.8198285,1,8055,OK,street_address
71,RANGE_INTERPOLATED,"28 W 16th St, New York, NY 10011, USA",EiUyOCBXIDE2dGggU3QsIE5ldyBZb3JrLCBOWSAxMDAxMSwgVVNBIhoSGAoUChIJlxf2tqJZwokReXQUS90Vk4UQHA,28 WEST 16TH STREET,40.7379087,-73.994517,4,10011,OK,street_address
72,ROOFTOP,"1220 Guildford Rd, Glen Burnie, MD 21060, USA",ChIJB2RaBO_8t4kRpvq2f1ITGZo,1220 GUILDFORD ROAD,39.1526139,-76.6103655,1,21060,OK,street_address
73,ROOFTOP,"5776 Swamp Circle Rd, Deale, MD 20751, USA",ChIJO_JdjQOMt4kRZzHdwjt3l1U,5776 SWAMP CIRCLE ROAD,38.794143,-76.556136,1,20751,OK,street_address
74,,,,,,,,,,
75,ROOFTOP,"14819 Downey Ave, Paramount, CA 90723, USA",ChIJSShGNSTNwoARtB9a96M5D2k,14819 DOWNEY AVE,33.8984745,-118.1519024,1,90723,OK,premise
76,ROOFTOP,"5226 S Michigan Ave, Chicago, IL 60615, USA",ChIJI6K5JLQuDogR1b9IxFmP4qQ,5226-8 S MICHIGAN AVE.,41.7991782,-87.623015,1,60615,OK,premise
77,,,,,,,,,,
78,ROOFTOP,"15612 E 96th Way, Commerce City, CO 80022, USA",ChIJ9_c4fK9vbIcRKf4kIsySnEw,15612 EAST 96TH WAY 3-B,39.8725519,-104.8075383,1,80022,OK,street_address
79,ROOFTOP,"15612 E 96th Way UNIT 3E, Commerce City, CO 80022, USA",ChIJPVjhw6VvbIcRpXaJzffYiFY,15612 96TH WAY UNIT 3-D,39.8712157,-104.805681,1,80022,OK,subpremise
80,,,,,,,,,,
81,ROOFTOP,"32-22 46th St, Long Island City, NY 11103, USA",ChIJ4beOIz1fwokRBsfMrLaxkpY,3222 46TH STREET,40.756237,-73.914919,2,11103,OK,street_address
82,ROOFTOP,"7608 Certitude Ave, Las Vegas, NV 89131, USA",ChIJhV4UBb7syIARgnSlfKaVfNc,7608 CERTITUDE AVENUE,36.3021967,-115.2606757,1,89131,OK,premise
83,ROOFTOP,"41599 CHERRYBRANCH Ave, Murrieta, CA 92562, USA",ChIJEyufJlOC3IAR7NvHyOpqAAs,41599 CHERRYBRANCH AVENUE,33.5676429,-117.2195894,1,92562,OK,premise
84,ROOFTOP,"17 Old Queechy Rd, Canaan, NY 12029, USA",ChIJG6BvXBRY54kRgG8OOAslQMg,17 OLD QUEECHY ROAD,42.4113759,-73.4457014,1,12029,OK,street_address
85,ROOFTOP,"17 Harrison Ave, Garfield, NJ 07026, USA",ChIJu0qQ_T75wokR0pWzVLM0XOY,17 HARRISON AVENUE,40.8684228,-74.1039203,1,7026,OK,"establishment,point_of_interest,store"
86,ROOFTOP,"14 Rocky Knoll, Irvine, CA 92612, USA",ChIJY8xi_-jd3IARZaRBVsZZQhk,14 ROCKY KNOLL,33.6519778,-117.816833,2,92612,OK,street_address
87,ROOFTOP,"274 Sharon Turnpike, Goshen, CT 06756, USA",ChIJ33OHUhib54kRsepGTemSL4M,274 SHARON TURNPIKE,41.8292025,-73.2501421,2,6756,OK,premise
88,ROOFTOP,"1635 Klamath Dr, Salinas, CA 93906, USA",ChIJGW2YN1f_jYARZKclDJufk98,1635 KLAMATH DRIVE,36.7083171,-121.6334222,1,93906,OK,premise
89,ROOFTOP,"22128 Gilmore St, Woodland Hills, CA 91303, USA",ChIJKwjucyScwoARV5MQIABkUJI,22128 GILMORE STREET,34.1872153,-118.6093627,1,91303,OK,premise
90,,,,,,,,,,
91,ROOFTOP,"7729 Jaboneria Rd, Bell Gardens, CA 90201, USA",ChIJbwOvtCvMwoARvOz94Fd5fhM,7729 JABONERIA ROAD,33.9623568,-118.1631237,1,90201,OK,premise
92,ROOFTOP,"3984 Yellowstone Cir, Chino, CA 91710, USA",ChIJBS0rTErN3IAR08eM5TTfizc,3984 YELLOWSTONE CIRCLE,33.9891623,-117.7164397,1,91710,OK,premise
93,ROOFTOP,"1637 Orange Tree Ln, La Cañada Flintridge, CA 91011, USA",ChIJRdQ5yATqwoARjDM5vHqbvnI,1637 ORANGE TREE LANE,34.2080971,-118.2132574,2,91011,OK,premise
94,ROOFTOP,"1156 7th St, Denver, CO 80204, USA",ChIJn7Xrlcl4bIcRxzWCsY425hM,1156 SEVENTH STREET,39.7417717,-105.0072373,2,80204,OK,street_address
95,,,,,,,,,,
96,GEOMETRIC_CENTER,"Walnut Rd, New York, USA",ChIJpZsTjV3F0okRxnJNYt-lHNo,11227 WALNUT STREET,42.4902914,-79.1903839,1,,OK,route
97,ROOFTOP,"6232 Mead Ct, Riverside, CA 92504, USA",ChIJIRWRbgyx3IARNK_B36qncBU,6232 MEAD COURT,33.9588878,-117.4154869,1,92504,OK,premise
98,ROOFTOP,"963 Longview Dr, Diamond Bar, CA 91765, USA",ChIJfQm-KeMsw4ARrmXbbaRjMaI,963 LONGVIEW DRIVE,34.0057333,-117.7872919,2,91765,OK,premise
99,RANGE_INTERPOLATED,"11000 Peoria St, Henderson, CO 80640, USA",EikxMTAwMCBQZW9yaWEgU3QsIEhlbmRlcnNvbiwgQ08gODA2NDAsIFVTQSIbEhkKFAoSCT3eqBbgcWyHEQOMc7yDiHbjEPhV,11000 PEORIA STREET,39.8979833,-104.8463453,2,80640,OK,street_address
100,ROOFTOP,"5831 E Camino Manzano, Anaheim, CA 92807, USA",ChIJGbMD-ADR3IARSpnBeQCccNU,5831 EAST CAMINO MANZANO,33.854584,-117.7864675,1,92807,OK,premise
101,ROOFTOP,"1139 W Third St, Dayton, OH 45402, USA",ChIJ3Zh9YDOBQIgRM2DWIQlnQNk,1139 WEST THIRD STREET,39.755972,-84.2116978,1,45402,OK,"establishment,point_of_interest"
102,ROOFTOP,"1096 Whitecliff Rd, Thousand Oaks, CA 91360, USA",ChIJVRwmY6w66IARFCLQ4y-97qk,1096 WHITECLIFF ROAD,34.1917995,-118.862798,1,91360,OK,premise
103,ROOFTOP,"7293 Mirage Dr, Huntington Beach, CA 92648, USA",ChIJwxMNZ7km3YAROViI6VclUTA,7293 MIRAGE DRIVE,33.690122,-118.000532,1,92648,OK,street_address
104,,,,,,,,,,
105,ROOFTOP,"1361 Carpenter Canyon Rd, Arroyo Grande, CA 93420, USA",ChIJgX17AAZf7IARAX3qhmWVyrU,1361 CARPENTER CANYON ROAD,35.160466,-120.579677,1,93420,OK,street_address
106,ROOFTOP,"158 S Harwood St, Orange, CA 92866, USA",ChIJueSrluXZ3IARGfdxRRmiPj0,158 SOUTH HARWOOD STREET,33.7867474,-117.8468716,2,92866,OK,premise
107,ROOFTOP,"2453 Alhambra St, Norco, CA 92860, USA",ChIJP-GM2_LJ3IARlrua5PMD9bc,2453 ALHAMBRA STREET,33.9371172,-117.5719863,1,92860,OK,premise
108,ROOFTOP,"10608 Stamps Rd, Downey, CA 90241, USA",ChIJ4ab7I5HNwoARizrZVlqRSEY,10608 STAMPS AVENUE,33.945603,-118.1286919,1,90241,OK,premise
109,RANGE_INTERPOLATED,"925 E O St, Lincoln, NE 68508, USA",EiI5MjUgRSBPIFN0LCBMaW5jb2xuLCBORSA2ODUwOCwgVVNBIhsSGQoUChIJxV77ugK_locR33sjRh9BswgQnQc,925 EAST O STREET,40.8136333,-96.7077786,1,68508,OK,street_address
110,ROOFTOP,"19431 Sherman Way UNIT 33, Reseda, CA 91335, USA",ChIJi5vDgeebwoAR7hvUBIL-flo,19431 SHERMAN WAY UNIT 33,34.2016193,-118.5567073,1,91335,OK,subpremise
111,ROOFTOP,"1412 La Mesa Ct, Arvin, CA 93203, USA",ChIJ5_iDqesP6oARyMLY1XtPdTU,1412 LA MESA COURT,35.19421,-118.8394255,1,93203,OK,premise
112,RANGE_INTERPOLATED,"12103 Peoria St, Henderson, CO 80640, USA",EikxMjEwMyBQZW9yaWEgU3QsIEhlbmRlcnNvbiwgQ08gODA2NDAsIFVTQSIbEhkKFAoSCQl5O8v_cWyHETxmW1IGuL8eEMde,12103 PEORIA STREET,39.9151272,-104.8472228,2,80640,OK,street_address
113,ROOFTOP,"3832 Kenmore Ave, Baldwin Park, CA 91706, USA",ChIJCxeJmHfXwoARWRWQTOeRgxs,3832 KENMORE AVENUE,34.0822482,-117.9741857,1,91706,OK,premise
114,ROOFTOP,"16521 Cypress St, Covina, CA 91722, USA",ChIJD-0JqQIow4ARVpgHd4fkA6g,16521 EAST CYPRESS STREET,34.0960891,-117.92474,1,91722,OK,premise
115,ROOFTOP,"15683 Palomino Dr, Chino Hills, CA 91709, USA",ChIJ53CydBvN3IARsX5qetXyDjA,15683 PALOMINO DRIVE,33.9685101,-117.6977259,1,91709,OK,premise
116,ROOFTOP,"5709 8th Ave, Brooklyn, NY 11220, USA",ChIJs_INaEpFwokRFBcRqXnEO24,5709 EIGHTH AVENUE,40.6368159,-74.0079017,1,11220,OK,premise
117,ROOFTOP,"567 Meadow Ln, Kingsburg, CA 93631, USA",ChIJm-HQq87llIARFKgzHqH57tg,567 MEADOW LANE,36.516685,-119.563182,2,93631,OK,street_address
118,ROOFTOP,"2531 S Prairie Dunes Pl, Ontario, CA 91761, USA",ChIJz1fWWc80w4ARiG4Bke4DH6Y,2531 SOUTH PRAIRIE DUNES PL,34.0276623,-117.6133892,1,91761,OK,premise
119,ROOFTOP,"13865 Saranac Dr UNIT C, Whittier, CA 90604, USA",EjFVTklUIEMsIDEzODY1IFNhcmFuYWMgRHIsIFdoaXR0aWVyLCBDQSA5MDYwNCwgVVNBIiIaIAoWChQKEgm91De1TtPCgBGtTZeXfPDgFBIGVU5JVCBD,13865 SARANAC DRIVE UNIT C,33.920545,-118.036139,1,90604,OK,subpremise
120,ROOFTOP,"1822 Seattle Ave #1101, West Covina, CA 91790, USA",EjIxMTAxLCAxODIyIFNlYXR0bGUgQXZlLCBXZXN0IENvdmluYSwgQ0EgOTE3OTAsIFVTQSIgGh4KFgoUChIJV_H7lcbXwoARHTcwBRS9OtQSBDExMDE,1822 SEATTLE AVENUE UNIT 1101,34.0744156,-117.9440584,1,91790,OK,subpremise
121,ROOFTOP,"16155 Hamlin St, Van Nuys, CA 91406, USA",ChIJIVH3zWGXwoAREauiKf84biY,16155 HAMLIN STREET,34.1886189,-118.4856436,1,91406,OK,premise
122,ROOFTOP,"31242 Orange Ave, Nuevo, CA 92567, USA",ChIJ18GXGS9e24ARCEKCr82tajA,31242 ORANGE AVENUE,33.813161,-117.1170306,1,92567,OK,premise
123,,,,,,,,,,
124,ROOFTOP,"1060 De Gamma Dr, Santa Maria, CA 93454, USA",ChIJlZz__mts7IARZaDYSY_P17o,1060 DE GAMMA DRIVE,34.9706864,-120.4182757,1,93454,OK,premise
125,ROOFTOP,"10743 Claremont Ave, Bloomington, CA 92316, USA",ChIJo4wJ9say3IARM2UZP54KYto,10743 CLAREMONT AVENUE,34.0588146,-117.3891519,1,92316,OK,premise
126,ROOFTOP,"614 E Carter St, Rialto, CA 92376, USA",ChIJN71_sadSw4ARTUwOWyhS_9E,614 EAST CARTER STREET,34.0910558,-117.3590998,1,92376,OK,premise
127,ROOFTOP,"7554 Evans St, Riverside, CA 92504, USA",ChIJQXM4m1mw3IAR71Xv3L_twW4,7554 EVANS STREET,33.9321683,-117.4035775,1,92504,OK,premise
128,ROOFTOP,"1165 Echo Dr E, San Bernardino, CA 92404, USA",ChIJMd7sbXRUw4ARaxjsEW0HJWE,1165 ECHO DRIVE,34.160292,-117.262526,2,92404,OK,street_address
129,ROOFTOP,"6717 Friars Rd UNIT 78, San Diego, CA 92108, USA",ChIJMUXOMjNV2YARVADjhWsSHJk,6717 FRIARS ROAD UNIT 78,32.7674708,-117.1735005,1,92108,OK,subpremise
130,ROOFTOP,"22755 Glendon Dr, Moreno Valley, CA 92557, USA",ChIJad2hFq2o3IARmO_JhIZ0TE8,22755 GLENDON DRIVE,33.945039,-117.2658434,1,92557,OK,premise
131,ROOFTOP,"6624 Sage Rd, Frazier Park, CA 93225, USA",ChIJ1V8ZvX3y6YAROMl108iHj8c,6624 SAGE ROAD,34.8194679,-118.9978214,1,93225,OK,premise
132,ROOFTOP,"6686 Mojave Ave, Twentynine Palms, CA 92277, USA",ChIJ1-fGJtTG2oARoZdWVn-ILdI,6686 MOJAVE AVENUE,34.1319905,-116.092664,1,92277,OK,premise
133,ROOFTOP,"4082 Sweet Water Ct SE, Conyers, GA 30094, USA",ChIJQd2E0xNM9IgR_bkob2euItQ,4082 SWEET WATER COURT SE,33.5804775,-84.0301459,1,30094,OK,premise
134,ROOFTOP,"2 Brushwood Ct, Columbia, SC 29229, USA",ChIJh_c_APSp-IgR3Ol3cUG81fU,2 BRUSHWOOD COURT,34.1541576,-80.9041598,2,29229,OK,premise
135,ROOFTOP,"4512 Balkin St, Houston, TX 77021, USA",ChIJPwNhojK-QIYR-heeJa2zH6k,4512 BALKIN STREET,29.6932412,-95.3508513,1,77021,OK,premise
136,ROOFTOP,"46 Academy St, Califon, NJ 07830, USA",ChIJmztyZgKPw4kRXdjv_Um5OhQ,46 ACADEMY STREET,40.7153312,-74.8354635,2,7830,OK,premise
137,ROOFTOP,"304 E 6th St, New York, NY 10003, USA",ChIJfbBeo5xZwokRPwpXrqmp1OU,304 EAST 6TH STREET,40.7271212,-73.9881796,2,10003,OK,premise
138,ROOFTOP,"1718 N Oxford St, Indianapolis, IN 46218, USA",ChIJKVmSXUpQa4gRjHewSjaZl_8,1718 NORTH OXFORD ST,39.7901086,-86.1154273,1,46218,OK,premise
139,ROOFTOP,"9627 Vinca Cir, Charlotte, NC 28213, USA",ChIJdb6LeQEcVIgRA5HCYI1Dqmg,9627-B VINCA CIRCLE,35.3000789,-80.726394,1,28213,OK,street_address
140,ROOFTOP,"1206 Kenwood Dr, Greenwood, IN 46143, USA",ChIJgd6Mn0Nda4gRU3j3UP_dG9k,1206 KENWOOD DRIVE,39.5998965,-86.1102553,1,46143,OK,premise
141,ROOFTOP,"1994 White Oak Ct, San Marcos, CA 92078, USA",ChIJBXsLzyd13IARFGpT3Q1ofEM,1994 WHITE OAK COURT,33.1297627,-117.2182572,1,92078,OK,premise
142,RANGE_INTERPOLATED,"1845 West 38th Street, Indianapolis, IN 46228, USA",EjIxODQ1IFdlc3QgMzh0aCBTdHJlZXQsIEluZGlhbmFwb2xpcywgSU4gNDYyMjgsIFVTQSIbEhkKFAoSCdducgS9VmuIEYfrofsReZ-eELUO,1845 WEST 38TH STREET,39.8244551,-86.1928539,1,46228,OK,street_address
143,ROOFTOP,"12512 Tibbetts St, Sylmar, CA 91342, USA",ChIJ-1R3PhuOwoARTO62gp1pnyo,12512 TIBBETTS STREET,34.3203297,-118.4059683,1,91342,OK,premise
144,,,,,,,,,,
145,ROOFTOP,"14525 Walbrook Dr, Hacienda Heights, CA 91745, USA",ChIJq17HIJHWwoARjTrLQumqfCY,14525 WALBROOK DRIVE,34.0211323,-117.9881634,1,91745,OK,premise
